ppCode,ppName,geometries
T0107,TAMPINES ROAD-HOUGANG AVE 7 HEAVY VEH PARK,"1.3627665992169649, 103.89712501422751"
T0109,TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,"1.2741167309466737, 103.80518782784173"
T0111,TUAS LINK 2 ,"1.3362043072788414, 103.63889061356481"
T0113,TUAS LINK 4 ,"1.3364869805654371, 103.6406748883383"
T0114,TEMBELING ROAD ,"1.3100698582853205, 103.90313576455594"
T0115,TELOK KURAU ROAD ,"1.3095412342450643, 103.91201718079552"
T0116,TEBAN GARDENS CRESCENT ,"1.3243250619248863, 103.74026851065692"
T0117,TUAS SOUTH AVENUE 1 ,"1.317813134640782, 103.62836236990228"
T0123,TUAS SOUTH STREET 2 ,"1.3075968011643706, 103.63130028762461"
T0129,TANJONG KATONG COMPLEX ,"1.316890182392951, 103.89522931567411"
T0130,TOA PAYOH WEST ,"1.3352801883614691, 103.84195375398797"
T0131,TAMPINES AVENUE 9- AVENUE 10 HV PARK,"1.3622129180522466, 103.9323661754381"
T0140,TANJONG KATONG ROAD OFF STREET,"1.3068395612894395, 103.89608109872434"
T0141,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),"1.3039250916364948, 103.89688542898854"
T0142,TUAS BASIN CLOSE ,"1.3131311427747732, 103.65297357663901"
T0144,TEO HONG ROAD - NEW BRIDGE ROAD OFF STREET,"1.280628557259014, 103.84087737212211"
T0145,TEBING LANE ,"1.3926076901105822, 103.91567332777795"
T0146,TAI SENG STREET ,"1.3358320754848167, 103.8896198490934"
T0151,TAMPINES ROAD HEAVY VEHICLE PARK,"1.363568092469359, 103.90277758961646"
T0153,TAMPINES NORTH DRIVE 3  HVP,"1.3728208987472348, 103.93627021337687"
U0002,UPPER CIRCULAR ROAD ,"1.2887936577982668, 103.84815513201173"
U0003,UBI AVENUE 3 ,"1.331599753629999, 103.89349968476704"
U0007,UPPER DICKSON ROAD ,"1.3063719701286556, 103.85249960146493"
U0008,UPPER WELD ROAD ,"1.306066909208158, 103.85415817244929"
U0012,UPPER PAYA LEBAR ROAD SERVICE ROAD,"1.3467689077542317, 103.88035444663542"
U0013,UBI ROAD 1 ,"1.3293774355960835, 103.89226012638406"
U0014,UBI ROAD 2 ,"1.3334194007591549, 103.89503632607254"
U0016,UBI ROAD 3 ,"1.3322489430683169, 103.89777136754418"
U0017,UPPER HOKIEN STREET ,"1.2854780260567698, 103.8460711787393"
U0021,UBI AVENUE 4 ,"1.3348377085905996, 103.89588774412877"
U0023,UNITY STREET ,"1.2921160923697266, 103.84196339926899"
U0029,UPPER THOMSON ROAD ,"1.3508693978055042, 103.83648397588424"
U0030,UBI AVENUE 1 ,"1.3249878129226202, 103.89313069651989"
U0031,UPPER SERANGOON ROAD ,"1.3629208619264372, 103.88818744279874"
U0035,UPPER SERANGOON ROAD (BARTLEY RD JUNCTION),"1.345059738366502, 103.87113851649991"
U0036,UPPER EAST COAST ROAD OFF STREET,"1.3122387155548971, 103.92605288490608"
U0037,UBI ROAD 4 ,"1.3324795971056735, 103.89994799886671"
U0038,UPPER THOMSON ROAD (LAKEVIEW ESTATE),"1.3500775393900213, 103.83527752187227"
U0039,UBI CRESCENT ,"1.3273590172817402, 103.89594182475487"
U0040,UPPER ALJUNIED LINK OFF-ST,"1.3344563713469142, 103.88244303068353"
U0042,UPPER CHANGI ROAD - BEDOK ROAD OFF STREET,"1.3321242011113004, 103.94646774562754"
U0043,UPPER THOMSON ROAD OFF STREET,"1.350060217446852, 103.8359651517257"
U0044,UBI VIEW ,"1.332079526616606, 103.89677211323693"
U0045,UBI LINK ,"1.3325529018822484, 103.89327550644019"
V0001,VEERASAMY ROAD ,"1.3073356197438473, 103.85449076589748"
V0005,VERDUN ROAD ,"1.309745591582893, 103.85592748322222"
V0007,VERDUN ROAD OFF STREET ,"1.310324224868191, 103.85612855572862"
W0001,WALLICH STREET ,"1.2768981420227197, 103.84442274166895"
W0002,WATERLOO STREET ,"1.2988906618188683, 103.8516365638611"
W0004,WILKIE ROAD ,"1.3031877141652655, 103.8472276770853"
W0005,WILKINSON ROAD ,"1.3023222734876947, 103.88621924197528"
W0010,WESTERHOUT ROAD ,"1.3111082586648342, 103.88105870703778"
W0021,WISHART ROAD ,"1.2703200464309448, 103.81366848258048"
W0029,WEST COAST PARK 1 OFF STREET,"1.2896228087074377, 103.77142607054459"
W0034,WOODLANDS SECTOR 1 ,"1.4535789731886486, 103.80492113059002"
W0035,WOODLANDS WALK ,"1.45214655859333, 103.80383458071458"
W0036,WOODLANDS LINK ,"1.4502260399141178, 103.80802271568326"
W0037,WOODLANDS LOOP ,"1.4475023203929185, 103.80788089021597"
W0038,WOODLANDS TERRACE ,"1.4518954167148315, 103.80773338420349"
W0040,WOODLANDS AVE 9 (WOODLANDS AVE 8-LINK),"1.4530859652826018, 103.80773995756006"
W0045,WARNA ROAD ,"1.3118947407420085, 103.79668041890797"
W0046,WOODLANDS INDUSTRIAL PARK E 1,"1.454282779635915, 103.79696719616668"
W0047,WOODLANDS INDUSTRIAL PARK E 3,"1.4535368347198205, 103.79670646875685"
W0048,WOODLANDS INDUSTRIAL PARK E 8,"1.4530368488519856, 103.80005007739744"
W0049,WOODLANDS INDUSTRIAL PARK E 9,"1.4499168251879193, 103.79864987994378"
W0051,WOODLANDS INDUSTRIAL PARK E 6,"1.449435160331697, 103.79936454442326"
W0055,WARNA ROAD OFF STREET ,"1.3110802058979325, 103.79619690369876"
W0058,WOODLANDS INDUSTRIAL PARK E 5,"1.4507339991928256, 103.79332521778126"
Y0002,YAN KIT ROAD ,"1.2760695754492697, 103.84184481230011"
Y0013,YISHUN INDUSTRIAL PARK A,"1.443534647894333, 103.83394593942108"
Y0017,YISHUN AVENUE 7 HEAVY VEHICLE PARK,"1.4443561666356382, 103.84059294652893"
Y0019,YAN KIT ROAD - CANTONMENT ROAD OFF ST,"1.2745489160415515, 103.84142957939866"
Y0020,YIO CHU KANG ROAD HVP  ,"1.3908407947470804, 103.8630050750028"
Z0001,ZION ROAD OFF STREET ,"1.2923854618385204, 103.83076016688219"
Z0003,ZION ROAD ,"1.2924784591778997, 103.83047442762206"
Z0004,ZION CLOSE ,"1.293063541553546, 103.8304014419491"
