ppCode,ppName,geometries
C0053,CAIRNHILL ROAD SERVICE ROAD,"1.3081036415510314, 103.83712942050259"
C0055,CHOA CHU KANG WAY ,"1.3951437095546413, 103.74230207131622"
C0057,CASUARINA ROAD ,"1.3769310766398906, 103.82798128150597"
C0058,CLEMENCEAU AVENUE ,"1.2977217245805106, 103.84384456273351"
C0063,CHENG YAN PLACE ,"1.3000078105479886, 103.85455755377922"
C0097,CAMPBELL LANE ,"1.3052064095538383, 103.852612259624"
C0098,CLIVE STREET ,"1.3056404826232364, 103.85253218083072"
C0104,CAVAN ROAD ,"1.3109564871388402, 103.86158146332319"
C0110,COOK STREET ,"1.2787996339829188, 103.84431729116517"
C0113,CHANGI ROAD (BET JALAN KEMBANGAN-STILL ROAD),"1.318616498499693, 103.91011067166322"
C0114,CHANGI ROAD SERVICE ROAD,"1.3179047999154023, 103.90733296217766"
C0118,CEYLON ROAD ,"1.305413926671487, 103.90289038941302"
C0119,CEYLON ROAD OFF STREET ,"1.3098549757025708, 103.89943305397591"
C0120,CHIA PING ROAD ,"1.3286782286665204, 103.71811485268292"
C0122,CHANGI VILLAGE ROAD ,"1.3888724673634019, 103.98723127116997"
C0126,CHANGI SOUTH AVENUE 2 ,"1.3321045456259328, 103.96990056409162"
C0128,CHANGI SOUTH AVENUE 4 ,"1.3351331270826672, 103.97066217283621"
C0129,CHANGI SOUTH STREET 1 ,"1.3367230478734808, 103.97062882855391"
C0130,CHANGI SOUTH STREET 2 ,"1.3312225559732167, 103.96293610491901"
C0132,CHANGI ROAD (BET JOO CHIAT ROAD-STILL ROAD),"1.3168292818542884, 103.90168697048374"
C0133,CARPENTER STREET OFF STREET,"1.2882657608784158, 103.84818289117739"
C0134,CIRCUIT ROAD ,"1.3251516221056174, 103.88507147291132"
C0135,CRANE ROAD ,"1.3129005266312637, 103.89954006119923"
C0136,CEYLON LANE ,"1.3112561564770766, 103.9006582335944"
C0142,CHANG CHARN ROAD ,"1.289005743758005, 103.81138123513745"
C0147,CHANGI ROAD - JALAN WAKAFF OFF STREET,"1.3185994087504735, 103.91074862065486"
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),"1.3110998019426583, 103.83975443423317"
C0151,CHANGI BEACH PARK CP 1 ,"1.3915861775485394, 103.98948755720816"
C0152,CHANGI BEACH PARK CP 2 ,"1.3911521106683347, 103.99140345404324"
C0153,CHANGI BEACH PARK CP 3 ,"1.3906702746534887, 103.99228507025734"
C0154,CHANGI BEACH PARK CP 4 ,"1.3901022234625884, 103.99417817857062"
C0155,CHANGI BEACH PARK CP 5 ,"1.3899303732904007, 103.99568808628645"
C0156,CHANGI BEACH PARK CP 6 ,"1.3843590285271745, 104.0010372932875"
